service_type,main_category,area_name,distance_from_center,time_of_day_minutes,day_of_week,peak_hour,demand_level,weather,final_price
Repair Damaged Switch,Home Assist,Shadman,1.5,511,Saturday,0,Low,Clear,766
Repair Damaged Switch,Home Assist,Shadman,3.27,1386,Wednesday,0,Low,Foggy,846
Repair Damaged Switch,Home Assist,Androon Lahore,7.13,1123,Thursday,1,High,Clear,739
Repair Damaged Switch,Home Assist,Township,6.8,466,Tuesday,0,Low,Foggy,838
Repair Damaged Switch,Home Assist,Johar Town,6.57,665,Tuesday,0,Medium,Foggy,741
Repair Damaged Switch,Home Assist,Valencia,2.47,1091,Friday,0,Low,Sunny,761
Repair Damaged Switch,Home Assist,DHA,4.2,1281,Wednesday,0,Medium,Sunny,750
Repair Damaged Switch,Home Assist,Misri Shah,1.33,1065,Friday,1,High,Foggy,743
Repair Damaged Switch,Home Assist,Bahria Town,4.43,748,Saturday,1,High,Foggy,846
Repair Damaged Switch,Home Assist,Model Town,2.97,542,Wednesday,1,High,Clear,791
Fan Installation,Home Assist,Johar Town,3.74,1174,Sunday,0,Medium,Sunny,759
Fan Installation,Home Assist,Misri Shah,7.66,809,Saturday,0,Low,Foggy,726
Fan Installation,Home Assist,Askari,2.08,1430,Wednesday,0,High,Clear,827
Fan Installation,Home Assist,Iqbal Town,4.96,1009,Thursday,0,Low,Clear,745
Fan Installation,Home Assist,Garhi Shahu,7.38,966,Monday,0,Low,Sunny,751
Fan Installation,Home Assist,Androon Lahore,6.84,1106,Monday,0,Medium,Rainy,899
Fan Installation,Home Assist,Wapda Town,6.51,218,Wednesday,1,Low,Clear,752
Fan Installation,Home Assist,Askari,1.34,751,Saturday,0,Low,Foggy,734
Fan Installation,Home Assist,Township,2.69,832,Monday,0,Medium,Sunny,847
Fan Installation,Home Assist,Askari,5.07,1177,Thursday,1,Low,Rainy,758
Fan Installation,Home Assist,Bahria Town,2.88,316,Tuesday,1,Medium,Sunny,775
Fan Installation,Home Assist,Sultanpura,1.56,1312,Friday,0,High,Sunny,891
Fan Installation,Home Assist,Wapda Town,2.31,1001,Saturday,1,Medium,Clear,899
Fan Installation,Home Assist,Androon Lahore,4.2,680,Saturday,1,Medium,Clear,711
Fan Installation,Home Assist,Bahria Town,0.44,226,Thursday,0,Low,Rainy,705
Fan Installation,Home Assist,Model Town,5.9,148,Thursday,0,Low,Foggy,718
Fan Installation,Home Assist,Model Town,6.5,384,Wednesday,1,Medium,Rainy,862
Fan Installation,Home Assist,Garhi Shahu,2.57,738,Wednesday,0,Medium,Rainy,778
Fan Installation,Home Assist,Valencia,6.75,1028,Wednesday,0,Medium,Rainy,719
Fan Installation,Home Assist,Johar Town,3.65,164,Friday,0,High,Sunny,846
Fan Installation,Home Assist,Cantt,4.35,1109,Saturday,1,Medium,Sunny,817
Fan Installation,Home Assist,Misri Shah,7.04,766,Thursday,1,Low,Foggy,784
Fan Installation,Home Assist,Garhi Shahu,4.05,527,Friday,0,High,Foggy,876
Fan Installation,Home Assist,DHA,7.05,46,Thursday,1,Low,Rainy,831
Fan Installation,Home Assist,DHA,5.72,461,Saturday,1,High,Rainy,874
Fan Installation,Home Assist,Valencia,5.39,729,Thursday,1,Low,Clear,874
Fan Installation,Home Assist,Township,4.96,888,Monday,1,Low,Foggy,831
Fan Installation,Home Assist,Johar Town,2.27,399,Friday,1,High,Clear,704
Fan Installation,Home Assist,Johar Town,1.34,1068,Saturday,0,Medium,Rainy,803
Fan Installation,Home Assist,DHA,7.77,256,Wednesday,1,Medium,Sunny,809
Fan Installation,Home Assist,Model Town,0.78,507,Thursday,1,High,Clear,874
Fan Installation,Home Assist,Wapda Town,1.85,757,Thursday,1,Medium,Clear,743
Fan Installation,Home Assist,Bahria Town,1.62,658,Sunday,0,Low,Sunny,726
Fan Installation,Home Assist,Misri Shah,2.55,812,Wednesday,1,Medium,Sunny,814
Fan Installation,Home Assist,Johar Town,1.99,557,Friday,0,Low,Rainy,860
Fan Installation,Home Assist,Garden Town,3.99,1075,Friday,0,High,Foggy,842
Fan Installation,Home Assist,Garden Town,1.38,1082,Friday,0,High,Rainy,827
Fan Installation,Home Assist,Sultanpura,3.17,143,Friday,0,Low,Sunny,781
Fan Installation,Home Assist,Shadman,4.89,278,Sunday,1,High,Clear,805
Fan Installation,Home Assist,Shadman,6.68,86,Tuesday,1,Medium,Rainy,738
Fan Installation,Home Assist,Shadman,4.37,825,Wednesday,1,High,Clear,894
Fan Installation,Home Assist,Johar Town,3.35,848,Monday,0,High,Rainy,808
Fan Installation,Home Assist,Sultanpura,1.26,1217,Friday,1,High,Sunny,710
Fan Installation,Home Assist,Johar Town,5.74,1156,Monday,0,High,Clear,876
Fan Installation,Home Assist,Model Town,5.96,242,Thursday,0,High,Clear,792
Fan Installation,Home Assist,Shadman,4.29,219,Monday,0,High,Sunny,884
Fan Installation,Home Assist,Garhi Shahu,4.32,878,Tuesday,0,Medium,Foggy,744
Fan Installation,Home Assist,Gulberg,2.91,1015,Saturday,0,Low,Sunny,744
Fan Installation,Home Assist,Gulberg,7.56,1021,Tuesday,0,Medium,Clear,734
Fan Installation,Home Assist,Johar Town,0.69,1068,Thursday,0,Medium,Clear,817
Fan Installation,Home Assist,Wapda Town,4.28,1436,Friday,1,Medium,Foggy,783
Fan Installation,Home Assist,Wapda Town,3.81,9,Wednesday,1,Medium,Rainy,737
Fan Installation,Home Assist,Johar Town,6.71,1109,Monday,1,High,Sunny,861
Fan Installation,Home Assist,Township,2.6,605,Friday,1,Medium,Clear,761
Fan Installation,Home Assist,Sultanpura,3.09,331,Saturday,0,High,Sunny,720
Fan Installation,Home Assist,DHA,7.09,1381,Saturday,1,Medium,Sunny,741
Fan Repairing,Home Assist,Sultanpura,2.74,174,Sunday,0,Low,Rainy,720
Fan Repairing,Home Assist,Bahria Town,5.13,661,Monday,1,High,Clear,723
Fan Repairing,Home Assist,Cantt,4.39,561,Saturday,1,Low,Rainy,547
Fan Repairing,Home Assist,Gulberg,3.75,1202,Thursday,0,High,Rainy,548
Fan Repairing,Home Assist,Garhi Shahu,0.59,393,Saturday,1,Medium,Rainy,646
Fan Repairing,Home Assist,Wapda Town,6.41,761,Monday,0,High,Sunny,724
Fan Repairing,Home Assist,Garhi Shahu,1.57,187,Tuesday,1,High,Rainy,578
Fan Repairing,Home Assist,Garhi Shahu,4.06,1244,Tuesday,1,Medium,Clear,686
Fan Repairing,Home Assist,Sultanpura,6.49,1265,Saturday,1,Low,Foggy,637
Fan Repairing,Home Assist,Garhi Shahu,3.81,887,Wednesday,0,Medium,Foggy,626
Fan Repairing,Home Assist,Garden Town,5.9,845,Friday,0,High,Clear,716
Fan Repairing,Home Assist,Garden Town,3.8,1122,Wednesday,1,Low,Foggy,660
Fan Repairing,Home Assist,Garden Town,5.49,471,Wednesday,1,High,Foggy,608
Fan Repairing,Home Assist,Sultanpura,0.31,775,Sunday,1,Low,Clear,577
Fan Repairing,Home Assist,Garhi Shahu,4.61,613,Monday,1,High,Foggy,698
Fan Repairing,Home Assist,Bahria Town,5.99,1401,Wednesday,0,High,Clear,637
Fan Repairing,Home Assist,Cantt,7.46,1096,Friday,0,High,Foggy,667
Fan Repairing,Home Assist,Johar Town,6.23,614,Saturday,0,Low,Foggy,724
Fan Repairing,Home Assist,Shadman,5.03,98,Tuesday,0,Low,Clear,650
Fan Repairing,Home Assist,Wapda Town,6.54,195,Saturday,0,High,Rainy,709
Fan Repairing,Home Assist,Shadman,4.64,655,Saturday,1,Low,Clear,729
Fan Repairing,Home Assist,Sultanpura,7.44,321,Saturday,0,High,Foggy,546
Fan Repairing,Home Assist,Sultanpura,4.73,33,Saturday,0,High,Clear,729
Fan Repairing,Home Assist,Garden Town,4.46,467,Sunday,0,Low,Clear,572
Fan Repairing,Home Assist,Shadman,6.71,735,Thursday,1,Medium,Clear,624
Fan Repairing,Home Assist,Bahria Town,1.62,928,Monday,0,Low,Rainy,638
Fan Repairing,Home Assist,Wapda Town,3.76,791,Friday,0,High,Foggy,716
Fan Repairing,Home Assist,Township,3.2,1359,Friday,0,Low,Sunny,640
Fan Repairing,Home Assist,Gulberg,3.63,959,Monday,0,Medium,Rainy,692
Fan Repairing,Home Assist,Model Town,2.13,616,Thursday,0,High,Rainy,619
Fan Repairing,Home Assist,Johar Town,5.8,198,Monday,1,Low,Sunny,708
Fan Repairing,Home Assist,Iqbal Town,0.12,1166,Tuesday,1,Medium,Sunny,626
Fan Repairing,Home Assist,Shadman,3.92,776,Saturday,1,Medium,Rainy,564
Fan Repairing,Home Assist,Johar Town,5.51,228,Thursday,0,High,Foggy,734
Fan Repairing,Home Assist,Sultanpura,0.67,129,Friday,1,Medium,Clear,550
Fan Repairing,Home Assist,Iqbal Town,0.9,538,Sunday,0,High,Sunny,730
Fan Repairing,Home Assist,Garden Town,7.47,201,Sunday,0,High,Clear,569
Fan Repairing,Home Assist,Askari,7.53,355,Monday,0,Low,Foggy,623
Fan Repairing,Home Assist,Iqbal Town,2.61,358,Tuesday,0,Low,Clear,731
Fan Repairing,Home Assist,Wapda Town,6.25,602,Sunday,1,Low,Foggy,603
Fan Repairing,Home Assist,Askari,3.69,416,Monday,1,Low,Foggy,721
Fan Repairing,Home Assist,Shadman,5.84,1319,Thursday,1,Medium,Foggy,582
Fan Repairing,Home Assist,Iqbal Town,1.62,914,Monday,0,Low,Clear,646
Fan Repairing,Home Assist,Township,7.52,1014,Thursday,0,Low,Clear,633
Fan Repairing,Home Assist,DHA,3.99,1314,Wednesday,1,High,Foggy,712
Fan Repairing,Home Assist,Johar Town,6.45,309,Wednesday,0,High,Sunny,597
Fan Repairing,Home Assist,Bahria Town,0.47,529,Monday,1,Medium,Rainy,552
Fan Repairing,Home Assist,Cantt,2.15,340,Sunday,0,High,Rainy,552
Fan Repairing,Home Assist,Garden Town,3.77,647,Thursday,1,Medium,Rainy,625
Fan Repairing,Home Assist,Misri Shah,6.82,1026,Thursday,1,Low,Sunny,702
Fan Repairing,Home Assist,Bahria Town,0.36,1243,Tuesday,1,High,Clear,731
Fan Repairing,Home Assist,Model Town,3.23,72,Monday,1,High,Rainy,619
Fan Repairing,Home Assist,Androon Lahore,2.48,1066,Tuesday,0,Medium,Sunny,607
Fan Repairing,Home Assist,Sultanpura,4.81,977,Saturday,0,Low,Sunny,641
Fan Repairing,Home Assist,Androon Lahore,7.31,761,Monday,0,Medium,Sunny,552
Fan Repairing,Home Assist,Shadman,5.1,1241,Sunday,1,High,Rainy,576
Fridge Installation,Home Assist,Misri Shah,2.96,1008,Tuesday,1,High,Rainy,1625
Fridge Installation,Home Assist,Garhi Shahu,6.0,218,Wednesday,0,Low,Rainy,1699
Fridge Installation,Home Assist,Township,5.05,880,Thursday,1,High,Foggy,1598
Fridge Installation,Home Assist,Garhi Shahu,1.28,80,Wednesday,0,Low,Foggy,1654
Fridge Installation,Home Assist,Wapda Town,4.39,913,Thursday,1,Low,Rainy,1553
Fridge Installation,Home Assist,Askari,3.98,924,Monday,0,Low,Sunny,1510
Fridge Installation,Home Assist,Sultanpura,7.37,108,Tuesday,1,Low,Foggy,1588
Fridge Installation,Home Assist,DHA,3.81,237,Monday,1,High,Sunny,1599
Fridge Installation,Home Assist,Valencia,6.82,1109,Monday,0,Medium,Foggy,1564
Fridge Installation,Home Assist,Sultanpura,6.55,355,Monday,1,High,Foggy,1533
Fridge Installation,Home Assist,Township,2.79,458,Tuesday,0,Low,Rainy,1548
Fridge Installation,Home Assist,Androon Lahore,4.7,57,Thursday,1,High,Clear,1549
Fridge Installation,Home Assist,Model Town,1.0,1335,Saturday,1,Low,Rainy,1651
Fridge Installation,Home Assist,Askari,7.73,1172,Tuesday,1,Low,Foggy,1673
Fridge Installation,Home Assist,Shadman,3.91,350,Thursday,0,Low,Rainy,1667
Fridge Installation,Home Assist,Shadman,7.18,1291,Sunday,1,Medium,Rainy,1675
Fridge Installation,Home Assist,Model Town,6.29,556,Sunday,0,Low,Clear,1510
Fridge Installation,Home Assist,Wapda Town,4.74,862,Sunday,0,High,Foggy,1518
Fridge Installation,Home Assist,Shadman,0.81,865,Monday,1,Medium,Sunny,1632
Fridge Installation,Home Assist,Garhi Shahu,1.13,1225,Sunday,1,Medium,Sunny,1624
Fridge Installation,Home Assist,Bahria Town,6.09,1344,Wednesday,0,Medium,Rainy,1509
Fridge Installation,Home Assist,Garhi Shahu,5.21,672,Thursday,1,Medium,Rainy,1529
Fridge Installation,Home Assist,Johar Town,3.24,393,Friday,1,High,Rainy,1616
Fridge Installation,Home Assist,Gulberg,1.25,1407,Friday,1,High,Clear,1571
Fridge Installation,Home Assist,Garhi Shahu,5.82,984,Tuesday,0,Low,Clear,1648
Fridge Installation,Home Assist,Iqbal Town,5.32,1313,Friday,0,High,Sunny,1503
Fridge Installation,Home Assist,Sultanpura,3.85,1153,Monday,0,Medium,Clear,1691
Fridge Installation,Home Assist,Township,7.53,354,Thursday,1,High,Sunny,1517
Fridge Installation,Home Assist,Wapda Town,3.23,282,Saturday,0,Low,Foggy,1682
Fridge Installation,Home Assist,Iqbal Town,1.92,889,Wednesday,1,High,Foggy,1668
Fridge Installation,Home Assist,Garhi Shahu,5.51,384,Thursday,0,Low,Clear,1567
Fridge Installation,Home Assist,Gulberg,3.63,1362,Friday,1,Low,Clear,1690
Fridge Installation,Home Assist,Iqbal Town,4.83,118,Monday,0,Medium,Rainy,1629
Fridge Installation,Home Assist,Johar Town,4.92,1147,Thursday,1,Medium,Rainy,1601
Fridge Installation,Home Assist,Wapda Town,5.28,341,Saturday,0,Low,Sunny,1563
Fridge Installation,Home Assist,Johar Town,5.89,462,Friday,0,High,Foggy,1667
Fridge Installation,Home Assist,Androon Lahore,3.18,621,Tuesday,1,High,Clear,1696
Fridge Installation,Home Assist,DHA,1.67,552,Tuesday,1,High,Sunny,1517
Fridge Installation,Home Assist,Shadman,4.25,811,Monday,1,Medium,Sunny,1692
Fridge Installation,Home Assist,Sultanpura,3.21,588,Friday,0,High,Sunny,1598
Fridge Installation,Home Assist,Model Town,5.46,306,Friday,1,High,Foggy,1516
Fridge Installation,Home Assist,Shadman,0.66,1292,Sunday,0,Low,Rainy,1655
Fridge Installation,Home Assist,Johar Town,0.7,52,Friday,0,Low,Clear,1542
Fridge Installation,Home Assist,Johar Town,7.36,767,Thursday,0,High,Foggy,1692
Fridge Installation,Home Assist,Askari,4.39,44,Thursday,0,Low,Sunny,1548
Fridge Installation,Home Assist,DHA,4.67,110,Friday,0,Medium,Foggy,1665
Fridge Installation,Home Assist,Cantt,5.47,1256,Saturday,0,Low,Foggy,1545
Fridge Installation,Home Assist,Garhi Shahu,2.49,86,Saturday,0,Low,Rainy,1670
Fridge Installation,Home Assist,Wapda Town,3.27,165,Monday,0,Low,Foggy,1550
Fridge Installation,Home Assist,Garhi Shahu,5.33,1030,Thursday,1,Medium,Rainy,1681
Fridge Installation,Home Assist,Androon Lahore,5.85,341,Friday,0,Low,Rainy,1691
Fridge Installation,Home Assist,Cantt,1.08,389,Sunday,0,High,Foggy,1537
Fridge Installation,Home Assist,Gulberg,4.09,903,Thursday,1,Low,Clear,1653
Fridge Installation,Home Assist,Wapda Town,5.15,1022,Monday,0,High,Foggy,1518
Fridge Installation,Home Assist,DHA,1.89,39,Thursday,1,Low,Clear,1517
Fridge Installation,Home Assist,Garhi Shahu,0.88,1002,Wednesday,1,Low,Sunny,1628
Fridge Repairing,Home Assist,Cantt,1.54,1114,Wednesday,1,High,Foggy,1701
Fridge Repairing,Home Assist,Township,7.88,1204,Tuesday,1,Medium,Sunny,1859
Fridge Repairing,Home Assist,Bahria Town,7.35,681,Saturday,0,High,Rainy,1811
Fridge Repairing,Home Assist,Shadman,4.94,260,Tuesday,0,Medium,Rainy,1703
Fridge Repairing,Home Assist,Valencia,5.23,1160,Thursday,1,Low,Clear,1890
Fridge Repairing,Home Assist,Androon Lahore,5.52,449,Thursday,1,Medium,Rainy,1713
Fridge Repairing,Home Assist,Askari,2.0,483,Thursday,1,Low,Sunny,1869
Fridge Repairing,Home Assist,Township,6.58,777,Sunday,1,Low,Rainy,1882
Fridge Repairing,Home Assist,Township,6.08,109,Thursday,1,High,Sunny,1760
Fridge Repairing,Home Assist,Valencia,1.11,296,Monday,1,High,Sunny,1855
Fridge Repairing,Home Assist,Model Town,7.86,1062,Thursday,1,High,Clear,1757
Fridge Repairing,Home Assist,Cantt,7.14,73,Sunday,1,Low,Foggy,1849
Fridge Repairing,Home Assist,Cantt,1.22,876,Wednesday,1,Medium,Rainy,1757
Fridge Repairing,Home Assist,Garhi Shahu,7.56,265,Tuesday,1,Medium,Foggy,1808
Fridge Repairing,Home Assist,Bahria Town,7.83,174,Monday,1,High,Foggy,1764
Fridge Repairing,Home Assist,Gulberg,1.55,1147,Thursday,1,Medium,Foggy,1879
Fridge Repairing,Home Assist,Township,6.52,732,Wednesday,1,High,Clear,1870
Fridge Repairing,Home Assist,Shadman,3.33,1049,Saturday,1,Medium,Sunny,1702
Fridge Repairing,Home Assist,Township,1.43,1396,Friday,1,Medium,Rainy,1855
Fridge Repairing,Home Assist,Androon Lahore,5.4,51,Wednesday,0,Low,Sunny,1830
Fridge Repairing,Home Assist,Valencia,5.92,1104,Thursday,1,High,Clear,1785
Fridge Repairing,Home Assist,Cantt,2.61,480,Sunday,1,High,Foggy,1714
Fridge Repairing,Home Assist,Cantt,7.43,984,Saturday,0,Medium,Clear,1853
Fridge Repairing,Home Assist,Bahria Town,7.66,917,Saturday,1,Medium,Foggy,1796
Fridge Repairing,Home Assist,DHA,6.07,550,Monday,1,High,Foggy,1803
Fridge Repairing,Home Assist,Cantt,2.38,960,Sunday,0,High,Foggy,1871
Fridge Repairing,Home Assist,Township,0.32,1302,Sunday,1,High,Clear,1782
Fridge Repairing,Home Assist,Township,3.58,407,Monday,0,Low,Rainy,1861
Fridge Repairing,Home Assist,Shadman,7.71,171,Monday,0,Low,Rainy,1754
Fridge Repairing,Home Assist,Shadman,8.0,767,Thursday,0,Low,Rainy,1822
Fridge Repairing,Home Assist,Garhi Shahu,5.07,506,Sunday,0,High,Clear,1834
Fridge Repairing,Home Assist,Johar Town,6.32,1074,Wednesday,1,Medium,Rainy,1867
Fridge Repairing,Home Assist,Wapda Town,4.55,973,Wednesday,1,Medium,Rainy,1836
Fridge Repairing,Home Assist,Androon Lahore,2.3,943,Thursday,1,Medium,Clear,1844
Fridge Repairing,Home Assist,Model Town,4.04,462,Friday,0,Medium,Clear,1831
Fridge Repairing,Home Assist,Gulberg,1.77,164,Friday,1,Medium,Rainy,1837
Fridge Repairing,Home Assist,DHA,1.05,512,Sunday,0,Medium,Foggy,1836
Fridge Repairing,Home Assist,Misri Shah,1.29,1380,Wednesday,0,Medium,Sunny,1757
